,bio,followers,following,following_back,highlight_count,mutual,post_count,private,recently_joined,username,verified
brad_rodgers11,21’ snap: bradrodgers12,560,998,1,0,131,6,True,False,brad_rodgers11,False
djhill87,Professional Djay�����������✊����,4888,2048,0,7,4,2087,False,False,djhill87,False
ingrid_amason,ATL | @ztadeltapsi �,1509,684,1,0,141,42,False,False,ingrid_amason,False
bennettkaitlynn,"ephesians 3:20 �
let’s be friends!!!",1371,909,1,5,21,287,False,False,bennettkaitlynn,False
ikewachter,ATL,631,998,1,0,7,2,True,False,ikewachter,False
jack.sawyer5,Fcs 2020 Snapchat: jacksawyer4.,1847,2619,1,0,116,17,True,False,jack.sawyer5,False
reedkroeber,,841,917,1,0,97,84,False,False,reedkroeber,False
mariapritchard,"Habakkuk 3:17-19
TMU ‘23",529,598,1,0,88,58,True,False,mariapritchard,False
b_mcneillie22,Jeremiah 29:11 � | USC ‘22 | πκφ,1517,1521,1,0,18,109,True,False,b_mcneillie22,False
laneyrikard_,"Surfside Beach, SC
OLE MI$$ ΦΜ����",2528,991,1,4,18,183,False,False,laneyrikard_,False
jpwalsh5005,Delbarton | Clemson sc-jpwalsh0550,868,885,1,0,70,1,True,False,jpwalsh5005,False
jordan.brewer_,,1248,1371,1,0,181,39,True,False,jordan.brewer_,False
david.campbell44,Clemson,756,985,1,0,55,15,True,False,david.campbell44,False
georgiasharpee,//university of tennessee ‘23// XΩ,1266,1215,1,0,2,74,True,False,georgiasharpee,False
annaroddam,☁� || Clemson ‘23,806,434,1,4,16,197,True,False,annaroddam,False
jamesadkins4,"Clemson ‘23
�",1053,919,1,0,55,27,False,False,jamesadkins4,False
mccranieandrew,Yo soy tomato sauce,428,437,1,0,131,20,False,False,mccranieandrew,False
beckybourne,too busy watering my own grass to check if yours is greener,3885,1932,1,14,53,107,False,False,beckybourne,False
nickbajakian,NJ | Clemson � ΦΣΚ,1164,892,1,0,26,10,True,False,nickbajakian,False
blaney_hudson,"uga ‘23 @aoiiuga 
� ephesians 2:3-10 �
☆ be kind ☆",1759,1071,1,5,65,169,False,False,blaney_hudson,False
the_real_rhodiesmith,R/S coming soon...,352,453,1,1,53,15,False,False,the_real_rhodiesmith,False
hannahwo0d,"Tennessee 24 � � � 
sc-hannah.wood11",2949,1714,1,3,45,183,False,False,hannahwo0d,False
brycepaul_,"LSU ’24
snap~ brycepaull",1509,868,1,0,188,40,True,False,brycepaul_,False
charlie.hoffman,�,422,363,1,0,130,15,False,False,charlie.hoffman,False
jenniferw0lfe,,719,581,1,0,7,33,True,False,jenniferw0lfe,False
grey.hasen,757                                                                                   Clemson ‘22  /  Clemson Rowing  / AFROTC,562,595,1,0,59,36,False,False,grey.hasen,False
taylorelizabethflowe,@one_ttown!!!!!,1656,4092,1,0,75,87,False,False,taylorelizabethflowe,False
finn_wagner21,Go to Fellowship. Play baseball #21 and I fish. Class of 2021,451,932,1,0,117,3,True,False,finn_wagner21,False
haydenhickman3,gnarly dude�,507,1021,1,0,143,40,True,False,haydenhickman3,False
tdemp_,"Clemson Sailing ⛵�
Clemson Wrestling �‍♂�",1137,1341,1,0,28,6,True,False,tdemp_,False
adam.rozeboom,,794,930,1,0,143,16,True,False,adam.rozeboom,False
jake_stensrud,:),35,56,1,0,12,0,False,False,jake_stensrud,False
kali.berggren,Proverbs 31:25 †  ||Samford ‘22 � � �  Bham YL Capernaum,1162,770,1,0,10,34,False,False,kali.berggren,False
madisonclaireb,"Clemson ‘23 @clemsonalphaphi 
Toby�",1141,1093,1,0,31,54,True,False,madisonclaireb,False
cmwltrs,"� New York
� Clemson | Central Spirit | Triathlon
��‍� AppleCare College Program",1429,1427,1,1,15,294,False,False,cmwltrs,False
jpguiney,,1026,989,1,1,35,15,True,False,jpguiney,False
naomideann,"adventure enthusiast, atl ♡
sc: naomi_6128",3788,2901,1,5,0,68,False,False,naomideann,False
alex_kinley_,CU '22,388,605,1,0,25,18,True,False,alex_kinley_,False
mike_mcentee,NJ |Clemson ‘23 | Sc- mike_mcentee | ρ ρ ρ,1471,2301,1,0,61,49,False,False,mike_mcentee,False
logan_lane_,"No matter where you go, there you are.",147,157,1,0,74,5,False,False,logan_lane_,False
jdkaikobad,.,490,733,1,1,7,5,False,False,jdkaikobad,False
bolincrosnan,"Ann Arbor | Cleveland
Lifetime Chipotle intake: 412 burritos, 0 bowls",1064,779,1,0,1,14,True,False,bolincrosnan,False
meredithrush,Georgia Tech ‘24,752,679,1,0,124,29,True,False,meredithrush,False
ndmensrowing,Official page for the Notre Dame Men's Rowing Team.,1164,3,0,0,1,111,False,False,ndmensrowing,False
marykateshaw,"“the lord is my portion”, says my soul, “therefore i will hope in him.”                         lamentation 3:24",744,848,1,2,190,56,True,False,marykateshaw,False
mattwehner,Jersey | Clemson ‘22 | Phi Sig,1105,1090,1,0,37,21,True,False,mattwehner,False
amy.g.thomson,"{if more of you means less of me, take everything}                                                 AU’23",1055,955,1,0,4,12,True,False,amy.g.thomson,False
lindsayfreemann,@southcarolinakd ★,3076,922,1,4,120,446,False,False,lindsayfreemann,False
amy.stuch,"So I do this thing called theatre and you should totally come to my next show, just click that link��",1825,2356,1,5,7,120,False,False,amy.stuch,False
kel_wins_,"������ 
�⚽��
LCS ‘20",791,797,1,5,8,141,True,False,kel_wins_,False
liam__reilly,Clemson 2020 � // Clemson Crew � // DTX // ΑΦΩ // ρρρ,681,598,1,0,44,87,True,False,liam__reilly,False
cade.kammerer63,,703,576,1,0,152,18,False,False,cade.kammerer63,False
emily.dresback,"1 Corinthians 16:14 ~
“Let all that you do be done in love.” ☾ ♥ �
FCS ‘23",218,435,1,0,36,7,True,False,emily.dresback,False
eva__ardagna,snap~evaardagna,2011,986,1,0,168,120,False,False,eva__ardagna,False
gabriellaustin,"go dawg$$$ ‘22 | @ugasigmakappa
snap ⌁ gabriellaustin",2742,993,1,5,144,288,False,False,gabriellaustin,False
lillimahlke,,1062,756,1,2,84,2,True,False,lillimahlke,False
annaleehoffman,"Go with Love! ATL, GA
Wofford ‘23 @woffordzta ♛",3371,986,1,8,211,445,False,False,annaleehoffman,False
zionnpleasant,,1122,826,1,1,164,9,True,False,zionnpleasant,False
scott.carlow,,645,804,1,0,43,72,True,False,scott.carlow,False
turner_67,ATL | Bama ‘23 ΚΣ,895,886,1,0,12,11,True,False,turner_67,False
suzannemooore,cho boi | yhc lacrosse ‘24,943,686,1,6,186,131,False,False,suzannemooore,False
lincolnledet,,156,229,1,0,58,0,True,False,lincolnledet,False
josh.cole.8,snap// joshua.cole33 // fcs’ 22,1107,852,1,0,155,3,True,False,josh.cole.8,False
thomass_rice,Coolin�  Clemson 22,831,924,1,0,41,10,True,False,thomass_rice,False
savannah_schulz22,snap||shsavannah||,1222,1359,1,1,149,46,False,False,savannah_schulz22,False
amandakim546,"SoCal  |  �ATL 
� GaTech ‘23",1061,1033,1,4,4,43,True,False,amandakim546,False
faithcoleeee,Snap~@fcoleee,1219,998,1,0,178,6,True,False,faithcoleeee,False
catherine_patterson,clemson '20 | clemson crew | ΠBΦ,950,1005,1,0,55,157,True,False,catherine_patterson,False
mckinleylibby,zen,3394,932,1,4,141,91,False,False,mckinleylibby,False
seebeck_c,Clemson 22,580,629,1,0,28,23,True,False,seebeck_c,False
scott_poer,GSU Lax///Proverbs 4:23,329,640,1,0,64,3,True,False,scott_poer,False
steve_reed03,FCS 21’,142,269,1,0,45,0,True,False,steve_reed03,False
maddy_mcdermott,ATL—> Knox// @utkkd,2087,1594,1,2,111,154,False,False,maddy_mcdermott,False
andrewb_m,,472,537,1,0,98,2,True,False,andrewb_m,False
pjoye10,"FCS, class of 2020, I� am in a growing relationship with my Savior Jesus Christ,  VSU Baseball ‘24!",561,930,1,0,112,6,True,False,pjoye10,False
kathleen_odee,"“So good news, I saw a dog today”
★UGA 23★",763,870,1,0,19,29,True,False,kathleen_odee,False
connor_divita,"UGA ‘22 
� @claustrophilic_band 
not related to danny devito",948,949,1,3,26,36,True,False,connor_divita,False
reese.zickafoose,⋆ ⋆ ⋆ ⋆ ⋆,904,982,1,5,172,83,True,False,reese.zickafoose,False
kellychristinec,,1303,750,1,14,12,56,False,False,kellychristinec,False
alexmc864,� @alexmc864 | CU ‘23,1149,957,1,0,51,12,True,False,alexmc864,False
brielleninesling,"live life as fully, bravely, and beautifully as possible",1029,693,1,3,200,100,False,False,brielleninesling,False
_abragg_,clemson ‘22,907,853,1,1,46,12,True,False,_abragg_,False
wyattnaylor,Baltimore | Clemson | Phi Sigma Kappa,1824,1613,1,0,29,93,True,False,wyattnaylor,False
gracie.bennett,Rochester NY // Clemson ‘23,444,464,1,0,48,17,True,False,gracie.bennett,False
annalamontagne,Think happy thoughts | Clemson ‘22 | ATL,781,851,1,6,48,146,True,False,annalamontagne,False
_vincent_4,Chicago | Clemson University ‘22 | Phi Sigma Kappa,1218,1090,1,0,15,30,False,False,_vincent_4,False
graysonrh22,"Do you have the courage to grab the dream that picked you? 
ATL | FSU'20",642,636,1,0,57,140,True,False,graysonrh22,False
hannah.herring5,clemson ‘23 ☆ @kkgclemson,1213,1005,1,0,31,54,True,False,hannah.herring5,False
sabrinaaaasmith,"fcs ‘21               
snap: sabrinaasmith02",654,1119,1,6,119,16,True,False,sabrinaaaasmith,False
lauren_breed,"samford ‘23
ΔΔΔ",957,1060,1,0,168,52,True,False,lauren_breed,False
sammyspivak,"Ecclesiastes 7:3
“You’re only given a little spark of madness. If you lose that, nothing.” -Robin Williams",524,794,1,0,93,6,False,False,sammyspivak,False
ainsley.webb,"chs 
snap>> @ainsley.webb",1663,740,1,5,154,11,True,False,ainsley.webb,False
peyton_114,"""Between the first whirly and the third dirly”",964,1422,1,0,77,18,False,False,peyton_114,False
vandyhacks,Welcome to the official Instagram of VandyHacks!,444,165,0,3,3,93,False,False,vandyhacks,False
brendantw,Clemson 2021 || ρρρ,512,625,1,0,59,21,True,False,brendantw,False
paytonspires,clemson '23 • ΣΚ,788,1113,1,0,9,27,True,False,paytonspires,False
carolinewillard,roswell | 1 John 4:7-8,2555,1682,1,3,82,6,True,False,carolinewillard,False
elenamailapur,Randolph //elena☆ // sc: emailapur,514,946,1,0,5,5,True,False,elenamailapur,False
pineyro_m,"FCS '20
~>snap: pineyro_m<~",1263,1149,1,0,148,90,True,False,pineyro_m,False
erinnhynekamp,pov: ur stalking me�,1699,1950,1,4,21,36,False,False,erinnhynekamp,False
pierce_rossman,sc: prossman55,395,509,1,0,58,1,True,False,pierce_rossman,False
priscillalorenzo,"�☆�★━━━━━━━━━━★�☆�
it’s the only life you got so you gotta live it big time",1058,974,1,5,134,238,False,False,priscillalorenzo,False
averyymasonn,RDC,3180,1801,1,7,34,152,False,False,averyymasonn,False
jonathan6morris,Matthew 19:26,649,631,1,0,124,6,False,False,jonathan6morris,False
malikg21,ATL | Hartford Lacrosse #18 |                                    Nation United,1580,1480,1,0,95,54,True,False,malikg21,False
wilson_long4,,468,683,1,2,95,1,True,False,wilson_long4,False
federicascalora,"�Gotta love animals��
Snapchat- federica1026
��Taken- Kaleb Mackusick",1101,2712,1,3,6,55,False,False,federicascalora,False
emma_jones27,make heaven crowded,602,585,1,3,158,16,False,False,emma_jones27,False
tristen_darmo,‘20 ⚬ sc - tristen_darmo,502,500,1,0,140,10,True,False,tristen_darmo,False
josh_guven,"You know who I am.                                        Atlanta’s  destination for fine jewelry 
2705 Old Milton Pkwy Ste.100 Alpharetta, GA 30009.",654,1765,1,0,56,30,False,False,josh_guven,False
gussie_rudin,UNG '22 ☆ ΚΔ// FTK�,902,885,1,0,121,114,True,False,gussie_rudin,False
llindseyeubanks,GA ☆ UTK ‘24,1116,962,1,4,135,64,True,False,llindseyeubanks,False
carolinecroucher,"UGA ‘22 AOII — & Loving E V E R Y second of it 
let all that you do be done in love",2999,1603,1,11,181,318,False,False,carolinecroucher,False
jkhampel,GSU ‘23,599,516,1,0,47,1,True,False,jkhampel,False
virginiagryder,gcsu ‘23 | ΔΓ | ⚓� | ATA 3rd degree,1642,5035,1,8,75,131,False,False,virginiagryder,False
lorrieaxelrod,CTT�PC 2020�XC/T&F,794,1157,1,3,2,87,True,False,lorrieaxelrod,False
offtothebeach55,,72,207,1,0,21,5,True,False,offtothebeach55,False
pierce_loechl,,305,359,1,0,50,6,False,False,pierce_loechl,False
laurenkiefner,phl • @clemson_zeta,3048,2074,1,10,76,186,True,False,laurenkiefner,False
jzeeveld,,1022,790,1,0,63,61,False,False,jzeeveld,False
iguessitscarter,Y’all should go check out my public music account @carter_koch_music     UAlbany ‘23,684,955,1,2,7,133,False,False,iguessitscarter,False
gbmoreano,NY | @clemsonalphaphi ★,1526,782,1,2,21,14,True,False,gbmoreano,False
cody_tapley10,GSU ‘23,254,258,1,0,105,6,True,False,cody_tapley10,False
ace.montgomery,Professional Waffle House DJ. 1/4 of @2nd.second.official,401,653,1,0,63,1,True,False,ace.montgomery,False
elizabsl,"cu 23 @bsl.art
let me design your tattoo",572,913,1,1,56,37,True,False,elizabsl,False
carolinekasdin,ycg//snapchat: caroline23456,1576,1184,1,3,150,142,False,False,carolinekasdin,False
kathryngraceclough,|| you’re worth fighting for || jesus || good company || coffee || @kathryngrace.co,1008,598,1,11,45,100,False,False,kathryngraceclough,False
nolan_lavergne,"SC � Nolan_Lavergne
UNG 22’ �
JHS Baseball Coach ⚾� 
Small Group leader at The Gathering",1066,458,1,0,105,13,True,False,nolan_lavergne,False
malwoodz,� CU '20 �,1071,1057,1,0,48,211,False,False,malwoodz,False
_winland,“just be an athlete” | 256 | au 23,601,585,1,0,1,0,False,False,_winland,False
davidengle71,Skip Bop Doodle Dee,907,794,1,0,49,15,False,False,davidengle71,False
abigail_ethridge,FCS ‘22,650,1031,1,0,69,22,True,False,abigail_ethridge,False
taylorbatkinson,Georgia Dawg � @aoiiuga ��,3555,1980,1,14,57,419,False,False,taylorbatkinson,False
drayton_manigault,Auburn ΘΧ,810,700,1,0,20,7,True,False,drayton_manigault,False
sophiamahlke,,1265,960,1,0,154,6,True,False,sophiamahlke,False
deewashburne,,31,32,1,0,13,0,False,False,deewashburne,False
grosekid,"Gcsu 22 ΑΓΔ
     Do justly
     Love mercy
     Walk humbly",1530,990,1,0,138,65,True,False,grosekid,False
peytonwil,"ΠKA // AU 23’
Do not contact me with unsolicited services or offers.",1065,1305,1,0,23,40,False,False,peytonwil,False
kyliejustice2019,unc ‘23//ncssm//gsw ‘18//jedc,1389,1289,1,0,3,67,True,False,kyliejustice2019,False
cartervarin,"NJ || Clemson ‘23 || ΦΣK 
� - cvarin11",1583,950,1,0,50,105,False,False,cartervarin,False
aiden_d._,,31,39,1,0,13,0,False,False,aiden_d._,False
_julianmunozz,"but you can call me juju
404 ✈� 813
��",829,744,1,0,23,18,True,False,_julianmunozz,False
emilykwinters,"atl ( ◠‿◠ )
sc: emilyy0624
spotify vvv",629,533,1,0,89,25,False,False,emilykwinters,False
no_hablo_english,Clemson '21 �| ρρρ,1161,689,1,1,70,64,True,False,no_hablo_english,False
smorecos,����,676,678,1,0,113,39,False,False,smorecos,False
hen_egg,Clemson Crew  ρ ρ ρ  ��,849,543,1,3,61,15,False,False,hen_egg,False
whitneycookston,"Auburn ‘24                                                                                 ""If you still have a pulse, God still has a purpose""",755,718,1,1,155,65,False,False,whitneycookston,False
davis.hobbs1,Every moonshot needs a rocket,519,996,1,0,40,8,False,False,davis.hobbs1,False
emmakatherynn_,~•Proverbs 31:25•~,755,892,1,0,96,77,True,False,emmakatherynn_,False
callierigsbee,Gt ‘23,303,194,1,0,0,15,False,False,callierigsbee,False
_cameronduffy,CU’23 ΔΔΔ,1173,1145,1,0,80,26,True,False,_cameronduffy,False
reeserountree,"i’m from atlanta but i live 45 minutes away in the suburbs.
sc reeserountree",1353,899,1,11,158,14,True,False,reeserountree,False
amandazimmerrr,choose happy.  rhs '20 ☆ ☆ auburn ‘24,1548,1840,1,6,45,259,True,False,amandazimmerrr,False
maddiecreek,sc: creek13,1272,459,1,0,108,8,True,False,maddiecreek,False
elvisc13,"NHS��RVHS�
V⚽��
'20",714,950,1,0,7,12,True,False,elvisc13,False
lillidowdall,PHL☆ @clemsonpiphi,2047,1003,1,6,18,104,False,False,lillidowdall,False
isabel.ray,Clemson ‘23,854,879,1,0,16,30,True,False,isabel.ray,False
_elisemartin,"uncp vball 23’
choose happy",1787,1576,1,8,21,46,True,False,_elisemartin,False
jessicalaneball,"atl gatech axo 
@theborgenproject",1140,1127,1,5,4,49,False,False,jessicalaneball,False
ag.haight,"i’m me, i do me, and i chill #clemson",766,701,1,0,7,132,True,False,ag.haight,False
thelukeschmidt_,Joshua 1:9,829,770,1,0,150,15,True,False,thelukeschmidt_,False
rykerryo,"live life so that those who know you but don’t know God will come to know God because they know you
UGA ‘24",591,689,1,3,30,17,True,False,rykerryo,False
allie_kleha,mhs’21• daughter of the one true king † || war eagle,2148,5003,1,8,43,12,True,False,allie_kleha,False
colemanleathers,�� cambridge,1103,1076,1,0,25,11,True,False,colemanleathers,False
leneelinder,sc: leneelinder,4390,1769,1,3,35,31,True,False,leneelinder,False
mac_forrester,Snap: macforrester,1198,1773,0,0,3,11,True,False,mac_forrester,False
jax_alb,"fcs class of 21
soccer⚽�
football �
psalms119:105 is my life verse",238,414,1,0,73,6,False,False,jax_alb,False
jackberends,UGA ‘22,401,387,1,0,127,28,True,False,jackberends,False
kayladiprima,"uga ‘23
AΦ �
�tell them you love them�
http://main.acsevents.org/goto/kayladiprima",1281,1145,1,4,71,52,False,False,kayladiprima,False
taylortweedy,☆bama ΧΩ☆,5439,1434,1,0,205,255,False,False,taylortweedy,False
cc_potter,BT Cheer//2x UCA All American Cheerleader//sc: cc_potter,2164,1772,1,4,52,140,True,False,cc_potter,False
chandlerbarroww,"� clemson ‘23 ΔΔΔ �
sc: chandlerbarroww",3056,4267,1,0,172,73,False,False,chandlerbarroww,False
mattrodgers10,,811,1366,1,1,124,7,True,False,mattrodgers10,False
cuhackit,"We want to CUhackit! �����
Student-run Hackathons coming to a Clemson near you! �",373,614,0,5,9,78,False,False,cuhackit,False
anna_ashworth22,Living for Jesus,1010,694,1,0,190,65,True,False,anna_ashworth22,False
rachel_hyatt,� clemson ‘23 �,1374,829,1,1,36,29,True,False,rachel_hyatt,False
alana_deany,☆ clemson '23  |  ☆ pi phi,388,399,1,0,9,11,True,False,alana_deany,False
cecily.dunlap,"�������� ��’ || ΚΚΓ
ѕnap: cecιly.dυnlap",978,712,1,4,47,45,False,False,cecily.dunlap,False
neel.g23,sc: neel.g,727,530,1,0,7,3,True,False,neel.g23,False
sarah__pierce,Saved by his grace  � North Georgia ΦM �,3158,1193,1,7,106,159,False,False,sarah__pierce,False
aneta.s_,FCS ‘20,523,471,1,0,108,9,True,False,aneta.s_,False
sarahjo_freshour,amosc//sarahjo_f,1844,2164,1,0,11,19,True,False,sarahjo_freshour,False
taliadunietz,ann arbor,1433,783,1,0,5,9,True,False,taliadunietz,False
jordanmounkes,be kind,5322,1395,1,9,48,86,False,False,jordanmounkes,False
laurenmvpierce,sc//laurenpierce11,2710,713,1,2,171,81,False,False,laurenmvpierce,False
bbridgetbaker,snap @ bridget1365,4551,1075,1,0,24,5,False,False,bbridgetbaker,False
hannah.dubose,sc// hannah8152,1016,864,1,2,11,41,True,False,hannah.dubose,False
kollin_c_1,“It’s Campbell like the soup” | GSSM '19 | CU ‘23,648,1059,1,0,43,40,True,False,kollin_c_1,False
caroline.vandyke,snap ⇝ caroline.vd1                                                         ��,1085,915,1,0,136,30,False,False,caroline.vandyke,False
bo_cosman,,1313,824,1,1,85,18,True,False,bo_cosman,False
jordanharmon_,"auburn‘24
jesus lover + picture enthusiast",1239,559,1,3,162,111,False,False,jordanharmon_,False
thegardenof_edens,"I stopped worrying & started wandering�
Leap fearlessly & always be radically kind�
Backroads Trip Leader
Currently: �Florida
Soon: �Seattle",985,954,0,4,2,449,False,False,thegardenof_edens,False
peytongeorge0928,~McLovin,189,476,1,0,51,0,False,False,peytongeorge0928,False
aarontturner,i go 2 uga,759,676,1,0,143,21,False,False,aarontturner,False
caroline.difelice,snap//carolinedif,2143,2564,1,0,25,108,False,False,caroline.difelice,False
k_scall16,SJP ‘16 | Clemson '20 | ρρρ,906,795,1,0,53,160,True,False,k_scall16,False
granthmorgan,UGA ‘22,492,479,1,0,95,13,True,False,granthmorgan,False
jillianbroyles,"fake it ‘til you make it!!
@clemsongammaphi",1190,1018,1,0,25,141,True,False,jillianbroyles,False
toomanykatess,A mess™,429,519,1,0,13,17,True,False,toomanykatess,False
mckenzieedwardss,Iiving my best life on the ice⛸ @mckenziesk8ter,2823,5232,1,6,8,335,False,False,mckenzieedwardss,False
uknowwhatitizzzz,welcome,115,114,1,0,8,66,True,False,uknowwhatitizzzz,False
gingertompkins,"Charleston
   clemson ‘23 | ΚΚΓ",1201,1253,1,0,85,38,True,False,gingertompkins,False
stephen_oakes31,�Clemson Crew ‘23�,420,562,1,0,52,10,True,False,stephen_oakes31,False
parker.maddux,3/21/18,446,74,1,0,17,5,False,False,parker.maddux,False
lucyk_h,university of north georgia 2022,1125,857,1,4,108,65,True,False,lucyk_h,False
addi.e,,842,520,1,2,117,11,True,False,addi.e,False
jennyyfoster,atl | wake forest,1940,1555,1,0,165,104,True,False,jennyyfoster,False
lilli.armstrong,"LIL
SM’ 21
��",1174,1027,1,0,11,13,True,False,lilli.armstrong,False
paladinsfcs,The official Instagram of Fellowship Christian School Athletics | Hashtag: #GoFCSPaladins,756,37,0,0,123,1025,False,False,paladinsfcs,False
_julieholland,FCS ‘21,681,701,1,0,83,24,False,False,_julieholland,False
christinamcardle,"atl ★ bt 
snap: christinam161",2168,1279,1,8,33,120,False,False,christinamcardle,False
annaghatchette,"Nevertheless, she persisted | @clemson_chio �",948,843,1,0,23,12,False,False,annaghatchette,False
peytonallen5,uga twenty two,1069,824,1,0,85,45,False,False,peytonallen5,False
cammilfff,Love thyself before others -dad,320,274,0,0,39,618,True,False,cammilfff,False
_shaneriley_,snap->sriley49,980,763,1,1,78,3,True,False,_shaneriley_,False
howardnolan,"Charleston, SC
Clemson 23",752,749,1,0,28,20,True,False,howardnolan,False
elizabethtaylor22,@clemsontridelta,2134,1968,1,0,90,56,True,False,elizabethtaylor22,False
_malik.the.freak,Gotta love it,127,133,1,0,3,57,True,False,_malik.the.freak,False
_malik.the.freak,Gotta love it,127,133,1,0,3,57,True,False,_malik.the.freak,False
lil_miller17,"“You have enemies? Good. That means you’ve stood up for something, sometime in your life.” – Winston Churchill  ΣΩ",406,744,1,0,63,36,True,False,lil_miller17,False
ggalko37,03809 Clemson ‘22 �,711,828,1,0,44,46,True,False,ggalko37,False
jenna.maffei10,"FL//Clemson’23
snap: jmaffei85",1156,1275,1,1,61,9,True,False,jenna.maffei10,False
mvranta,md � clemson � tell your dog i said hi,1091,788,1,4,22,40,True,False,mvranta,False
aj.dubois_,Georgia State 2023,1062,3526,1,0,6,9,False,False,aj.dubois_,False
caarolyn17,CU’22�,977,769,1,0,66,78,True,False,caarolyn17,False
vanderbiltaccelerator,"� Real clients, Real projects, Real opportunities!
� Give yourself a killer resume in just 28 days
� Do more than you ever imagined!",839,1057,1,4,1,145,False,False,vanderbiltaccelerator,False
_.lilligrace._,"i probably don’t care
ghs:)) snap:lilligrace145",1313,2265,1,0,6,9,True,False,_.lilligrace._,False
robertlai_,denmark 20,1108,797,1,0,1,9,False,False,robertlai_,False
_laurenyates,chs | clemson ‘23,1149,950,1,0,29,6,True,False,_laurenyates,False
dawson.winters,Southern24’,1437,1828,1,0,116,4,False,False,dawson.winters,False
kat.elise04,"FCS ‘22
Proverbs 31:25
Be kind to people�",304,680,1,0,51,8,True,False,kat.elise04,False
macyehenry,"to know Him & to make Him known
clemson ‘21  ★ alpha delta pi",1505,1123,1,0,24,160,False,False,macyehenry,False
aidan_nicole,"ATL • DTX
SMU’ 23
Snap • Aidan_Nicole",1809,1575,1,3,21,15,True,False,aidan_nicole,False
jennaration__,clemson ‘20 | @southwood_wyldlife,783,768,1,3,8,153,True,False,jennaration__,False
mary13_k,My name is Mary. I'm so very fly oh my it's a little bit scary.,1278,1236,1,0,88,42,True,False,mary13_k,False
trinityperini,clemson,1165,1126,1,0,8,27,True,False,trinityperini,False
idkcalista,♓���,2554,998,1,1,0,62,True,False,idkcalista,False
chloe_russo,"MI✈�AL✈�IA
University of Northern Iowa WSOC",2057,1106,1,9,1,98,False,False,chloe_russo,False
brookebeard_,liberty lacrosse 25’,890,742,1,3,124,27,True,False,brookebeard_,False
briannecregan,apa ★ clemson ★ @skclemson,1293,1184,1,2,51,84,True,False,briannecregan,False
nickgokhman,uga ‘23 // Milton,1346,1209,0,0,45,26,True,False,nickgokhman,False
michaelajleslie,bos�clemson ‘23,1432,1210,1,4,71,67,False,False,michaelajleslie,False
willsninnemann,"Greenville, SC • Clemson ‘23                                        @kkgclemson",1456,1340,1,1,92,85,True,False,willsninnemann,False
collin_omohundro,Snap~collinomohundro ;)                                              Class 2021,282,476,1,0,61,1,True,False,collin_omohundro,False
ally.exley,Be happy.,819,831,1,8,167,57,False,False,ally.exley,False
clairebrumfield,samford’23 // rest easy sammy,1117,2058,1,0,131,35,False,False,clairebrumfield,False
ansleyem7,be happy and do good | Bama 2022 | @alabamaalphaphi,2428,2230,1,0,121,143,True,False,ansleyem7,False
bwebb_02,"FCS '20
Sc: braden.webb2",614,553,1,0,152,11,True,False,bwebb_02,False
tommy_harris227,NJ � Clemson ‘23,724,692,1,0,39,4,True,False,tommy_harris227,False
julia_laasch,"im not gonna say I survived. im gonna say I thrived.
clemson ‘22| KΔ",1470,1183,1,4,78,143,True,False,julia_laasch,False
elizasal,Columbia | Clemson                                                                                         @clemsontridelta,1512,986,1,0,77,154,True,False,elizasal,False
mattiesolomon,Clemson ‘23 // @kkgclemson,907,745,1,0,38,26,True,False,mattiesolomon,False
maberzzzzzzzzzz,"Psalm 149:3 “Let us praise His name with dance”
@aoiiuga",3396,1940,1,3,26,102,False,False,maberzzzzzzzzzz,False
kaitlyn_kga,"clemson ‘23 // KΔ 
rejoice always",822,943,1,3,82,23,True,False,kaitlyn_kga,False
gracewilson0115,clemson ‘23 // kappa delta,1911,1928,1,0,76,32,True,False,gracewilson0115,False
a_yarr,PA || Clemson '20 �,799,584,1,0,61,117,True,False,a_yarr,False
gracefalgoust,louisiana � @clemson_chio,1183,1045,1,0,45,16,False,False,gracefalgoust,False
kylieippolito,clemmy,1527,867,1,0,44,14,True,False,kylieippolito,False
annieirlbeck,"gcsu ‘23 ☆ ΚΔ
sc ☆ anniebasketball",1328,933,1,0,11,42,False,False,annieirlbeck,False
haliewalther,"ghc softball 
�atl
1 Corinthians 10:31",3284,1938,1,5,8,167,True,False,haliewalther,False
grace.culver,clemson ‘23 // dsp // cu ski,1113,874,1,1,9,68,True,False,grace.culver,False
julia.beckerr,"w/ style & grace �� 
→ SMU ‘24 →",3415,2248,1,1,35,217,False,False,julia.beckerr,False
kittyarmstrong150,,12,13,1,0,8,16,True,False,kittyarmstrong150,False
mccallvalentin,"NY | CLEM | XΩ
""60% of the time, it works every time""",1084,995,1,0,51,121,True,False,mccallvalentin,False
ac.higgins,"CU ‘22 � 
@clemson_zeta ♛",1549,1103,1,1,37,47,False,False,ac.higgins,False
sav_esmith,☆ Clemson,1061,477,0,0,9,89,False,False,sav_esmith,False
jlunt8,CSG '18 // CU ‘22 // ZTA,1219,1147,1,0,33,47,True,False,jlunt8,False
arhant17,Gator don’t play no shit,480,475,1,1,0,24,True,False,arhant17,False
jolieguinn,Nashville —> Clemson ‘23,1136,969,1,0,24,72,True,False,jolieguinn,False
camfadem13,,2268,1696,1,0,34,96,True,False,camfadem13,False
